"region","variable","R_effect","SE","class"
"Mtwest","Capacity factor",-0.580543059429029,0.241401771144686,"Operational"
"Midwest","Capacity factor",-0.963527403330689,0.206480817519234,"Operational"
"Northeast","Capacity factor",-0.795432841463408,0.0896441879018785,"Operational"
"South","Capacity factor",0.263970563217626,0.160823386795255,"Operational"
"Texas","Capacity factor",0.155631624144473,0.148292990167201,"Operational"
"West","Capacity factor",-0.221267883532562,0.0835498558377209,"Operational"
"Mtwest","Hail",0.09660794274389,0.120218174592574,"Operational"
"Midwest","Hail",0.861281295310392,0.0774640511015278,"Operational"
"Northeast","Hail",-0.0150564644571287,0.145732209217134,"Operational"
"South","Hail",-0.0691440687183443,0.103118255362088,"Operational"
"Texas","Hail",0.139831655114883,0.161619295409271,"Operational"
"West","Hail",0.443410456234131,0.113490834982054,"Operational"
"Mtwest","Wildfire",-0.13537998605303,0.353291292759606,"Operational"
"Midwest","Wildfire",-1.43790458440241,0.361131517271452,"Operational"
"Northeast","Wildfire",0.0810872460643904,0.33861518564632,"Operational"
"South","Wildfire",-0.072398975273533,0.278327498653196,"Operational"
"Texas","Wildfire",-0.357231796034411,0.446904636870402,"Operational"
"West","Wildfire",-0.707651198920931,0.362235415069095,"Operational"
"Mtwest","Energy community",-0.08831211558433,0.0437858982026343,"Operational"
"Midwest","Energy community",0.0114283903584752,0.0509570114323737,"Operational"
"Northeast","Energy community",-0.15340182627416,0.0386996255491954,"Operational"
"South","Energy community",0.0215511916742288,0.0494858912696126,"Operational"
"Texas","Energy community",0.0532721486264461,0.0400824138042118,"Operational"
"West","Energy community",0.061459905370213,0.0421428698426667,"Operational"
"Mtwest","Capacity factor",-0.265907499670401,0.236774095964808,"Queue"
"Midwest","Capacity factor",0.554516519245666,0.25159194715619,"Queue"
"Northeast","Capacity factor",-0.820055437229382,0.272085897245927,"Queue"
"South","Capacity factor",-0.0626418975519516,0.117331899133289,"Queue"
"Texas","Capacity factor",-0.799640404475961,0.0961359400413175,"Queue"
"West","Capacity factor",0.180325921526688,0.114484583579343,"Queue"
"Mtwest","Hail",-0.0545155683989366,0.170038670250739,"Queue"
"Midwest","Hail",-0.243617312064087,0.0908718332343181,"Queue"
"Northeast","Hail",-0.11736851203157,0.244229898496849,"Queue"
"South","Hail",-0.235876190478334,0.128759457815546,"Queue"
"Texas","Hail",-0.229168608340812,0.125820825105998,"Queue"
"West","Hail",0.180761458829736,0.165166478265812,"Queue"
"Mtwest","Wildfire",-0.0332010270165134,0.350446675558779,"Queue"
"Midwest","Wildfire",0.42325542869906,0.266667140560745,"Queue"
"Northeast","Wildfire",-0.110763818046168,0.324559818974179,"Queue"
"South","Wildfire",-0.117362933787557,0.180178878757194,"Queue"
"Texas","Wildfire",0.0161140028659531,0.274761470377354,"Queue"
"West","Wildfire",-0.125206850237172,0.139239210496318,"Queue"
"Mtwest","Energy community",-0.0451751900189118,0.149129155431356,"Queue"
"Midwest","Energy community",0.105595922722039,0.0709686088342451,"Queue"
"Northeast","Energy community",-0.15978911325686,0.103939448210681,"Queue"
"South","Energy community",0.146359548120394,0.0862423132663924,"Queue"
"Texas","Energy community",-0.157659376009399,0.124406926514705,"Queue"
"West","Energy community",0.02790769573153,0.0895810309165361,"Queue"
